Time,H,O,X,nn,ss,xx
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:21,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:22,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,1,2
21:03:23,0,1,0,2,0,2
21:03:23,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:24,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:25,0,1,0,2,0,2
21:03:26,0,1,0,2,0,2
21:03:26,0,1,0,2,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:26,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,1,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,2,0,2
21:03:27,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:28,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,0,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:29,1,1,0,2,0,2
21:03:30,1,1,0,2,0,2
21:03:30,1,1,0,2,0,2
21:03:30,1,1,0,2,0,2
21:03:30,0,1,0,2,0,2
21:03:30,0,1,0,2,0,2
21:03:30,0,1,0,2,0,2
21:03:30,0,1,0,2,0,2
21:03:30,0,1,0,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:30,0,1,1,2,0,2
21:03:31,0,1,1,2,0,2
21:03:31,0,0,1,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,0,0,0,2,0,2
21:03:31,1,0,0,2,0,2
21:03:31,1,0,0,2,0,2
21:03:31,1,0,0,2,0,2
21:03:31,1,0,0,2,0,2
21:03:31,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:32,1,0,0,2,0,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,0,2
21:03:33,1,0,0,2,0,2
21:03:33,1,0,0,2,0,2
21:03:33,1,0,0,2,0,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,1,2
21:03:33,1,0,0,2,1,2
21:03:33,0,0,0,2,1,2
21:03:33,0,0,0,2,1,2
21:03:33,0,0,0,2,1,2
21:03:33,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:34,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,2
21:03:35,0,0,0,2,1,1
21:03:35,0,0,0,2,1,1
21:03:35,0,0,1,2,1,1
21:03:35,0,0,1,2,1,1
21:03:35,0,0,1,2,1,2
21:03:35,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:36,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,2
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,0
21:03:37,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,2
21:03:38,0,0,1,2,1,0
21:03:38,1,0,1,2,1,0
21:03:38,1,0,1,2,1,0
21:03:38,1,0,1,2,1,0
21:03:38,0,0,1,2,1,0
21:03:38,0,0,1,2,1,0
21:03:38,0,0,1,2,1,2
21:03:39,0,0,1,2,1,2
21:03:39,0,0,1,2,0,2
